customer_id,customer_name,age_group,customer_type,loyalty_tier,home_estate,distance_to_store_km
C00083,Were Juma,18-25,Occasional,Silver,Githurai 44,2.2
C00084,Kinyua Simiyu,56+,Regular,Gold,Githurai 44,4.5
C00085,Otieno Akinyi,46-55,Occasional,Silver,Ndenderu,2.3
C00086,Kinyua Maina,46-55,Occasional,Gold,Mwiki,0.8
C00087,Kiplagat Wairimu,36-45,Regular,Bronze,Kimbo,3.5
C00088,Hassan Juma,36-45,Regular,Silver,Githurai Kimbo,2.7
C00089,Were Mutiso,18-25,New,Bronze,Githurai 45,2.5
C00090,Chebet Njoroge,56+,Regular,Bronze,Ndenderu,7.6
C00091,Juma Adhiambo,36-45,Occasional,Gold,Green Valley,2.3
C00092,Njoroge Achieng,56+,Occasional,Gold,Green Valley,1.5
C00093,Akinyi Simiyu,36-45,Regular,Bronze,Githurai Kimbo,1.4
C00094,Ochieng Wanjiku,26-35,Regular,Gold,Green Valley,6.5
C00095,Mutiso Mwangi,18-25,New,Gold,Ndenderu,5.9
C00096,Mumbi Wanjala,18-25,Regular,Silver,Kahawa Wendani,1.5
C00097,Mwangi Otieno,46-55,Occasional,Gold,Ruiru Town Center,2.1
C00098,Achieng Mutiso,18-25,New,Gold,Kihara,6.1
C00099,Njeri Kamau,56+,New,Silver,Githurai 44,2.6
C00100,Akinyi Wanjala,26-35,Regular,Silver,Githurai 45,7.9
C00101,Were Kariuki,36-45,Occasional,Silver,Ruiru Sports Club,4.6
C00102,Simiyu Mwangi,26-35,Regular,Gold,Kahawa Wendani,1.9
C00103,Were Wambui,36-45,Regular,Gold,Ruiru Sports Club,6.9
C00104,Achieng Mwangi,26-35,Regular,Gold,Ruiru CBD,2.9
C00105,Wambui Kinyua,46-55,Occasional,Bronze,Green Valley,2.7
C00106,Njeri Kiplagat,26-35,New,Bronze,Githurai Kimbo,3.0
C00107,Mwangi Wambui,26-35,New,Silver,Githurai 44,6.3
C00108,Akinyi Kinyua,56+,Regular,Bronze,Kihara,1.8
C00109,Nyambura Wambui,46-55,Regular,Gold,Green Valley,3.4
C00110,Omondi Kamau,18-25,Regular,Silver,Githurai 44,0.7
C00111,Wanjala Mwangi,26-35,Regular,Silver,Ruiru CBD,6.7
C00112,Omondi Kipchoge,36-45,Regular,Silver,Ruiru CBD,3.1
C00113,Achieng Wanjiku,26-35,Occasional,Bronze,Githurai Kimbo,2.4
C00114,Adhiambo Wanjiku,56+,Regular,Silver,Kimbo,4.8
C00115,Kariuki Abdullah,26-35,Regular,Bronze,Mwiki,5.8
C00116,Ochieng Kipchoge,26-35,New,Gold,Githurai 44,6.6
C00117,Abdullah Njeri,46-55,Regular,Bronze,Ruiru CBD,3.1
C00118,Ochieng Kipchoge,36-45,New,Gold,Kahawa Wendani,6.6
C00119,Achieng Njoroge,46-55,Occasional,Silver,Githurai Kimbo,4.0
C00120,Simiyu Muthoni,36-45,Regular,Platinum,Ruiru Town Center,1.3
C00121,Okoth Akinyi,46-55,Occasional,Bronze,Kihara,6.8
C00122,Muthoni Kiplagat,56+,Regular,Bronze,Ruiru Town Center,4.6
C00123,Hassan Kipchoge,46-55,Occasional,Silver,Kahawa Wendani,5.0
C00124,Njeri Kamau,46-55,Occasional,Silver,Kahawa Sukari,7.5
C00125,Kamau Wanjiku,56+,Occasional,Bronze,Githurai 45,4.7
C00126,Simiyu Akinyi,18-25,Occasional,Silver,Mwiki,0.5
C00127,Wanjala Kiplagat,56+,Occasional,Silver,Kihara,7.0
C00128,Simiyu Chebet,36-45,Occasional,Silver,Kimbo,2.6
C00129,Hassan Nyambura,56+,New,Gold,Ruiru CBD,4.3
C00130,Kinyua Okoth,46-55,Regular,Gold,Kihara,2.0
C00131,Were Kamau,18-25,Regular,Gold,Kihara,2.7
C00132,Simiyu Ochieng,26-35,New,Bronze,Kihara,5.6
C00133,Mutiso Kinyua,26-35,Regular,Silver,Ruiru Town Center,3.7
C00134,Abdullah Maina,56+,Regular,Silver,Ruiru CBD,5.2
C00135,Hassan Kiplagat,46-55,Occasional,Silver,Kahawa Sukari,6.7
C00136,Abdullah Otieno,18-25,New,Bronze,Mwiki,3.1
C00137,Adhiambo Wanjiku,36-45,New,Bronze,Githurai 44,4.8
C00138,Mwangi Wanjala,36-45,Regular,Bronze,Githurai 45,6.3
C00139,Mwangi Adhiambo,18-25,Regular,Bronze,Mwiki,5.9
C00140,Chebet Ochieng,26-35,Regular,Bronze,Ruiru CBD,4.5
C00141,Abdullah Akinyi,26-35,Occasional,Bronze,Githurai Kimbo,3.4
C00142,Adhiambo Muthoni,18-25,Occasional,Gold,Ndenderu,3.6
C00143,Abdullah Kiplagat,18-25,Regular,Bronze,Mwiki,3.7
C00144,Akinyi Nyambura,46-55,Regular,Silver,Green Valley,3.1
C00145,Kinyua Were,46-55,Regular,Platinum,Green Valley,5.7
C00146,Kipchoge Kamau,26-35,New,Bronze,Kimbo,1.4
C00147,Mwangi Achieng,36-45,Regular,Bronze,Githurai 45,7.8
C00148,Abdullah Abdullah,46-55,New,Bronze,Githurai 44,6.3
C00149,Kiplagat Simiyu,36-45,Occasional,Bronze,Githurai Kimbo,2.7
C00150,Hassan Mwangi,26-35,New,Bronze,Ndenderu,0.8
C00151,Nyambura Muthoni,36-45,Regular,Silver,Kahawa Wendani,5.8
C00152,Maina Kipchoge,46-55,Regular,Silver,Mwiki,6.0
C00153,Omondi Simiyu,18-25,Regular,Platinum,Ruiru Town Center,7.7
C00154,Kiplagat Kipchoge,26-35,New,Bronze,Kihara,2.4
C00155,Chebet Juma,36-45,Regular,Platinum,Ruiru Town Center,1.1
C00156,Maina Nyambura,26-35,Premium,Silver,Ruiru Town Center,7.4
C00157,Wambui Njeri,36-45,Regular,Gold,Kihara,2.4
C00158,Mwangi Were,46-55,Occasional,Gold,Kihara,5.9
C00159,Abdullah Omondi,46-55,Regular,Bronze,Kahawa Wendani,1.0
C00160,Njoroge Kiplagat,26-35,New,Bronze,Githurai 45,6.2
C00161,Nyambura Kamau,56+,Occasional,Bronze,Githurai 45,1.5
C00162,Wanjala Simiyu,18-25,Occasional,Bronze,Mwiki,5.7
C00163,Hassan Njeri,56+,Occasional,Bronze,Githurai Kimbo,4.5
C00164,Mwangi Abdullah,36-45,New,Gold,Githurai 44,7.7
C00165,Abdullah Mwangi,18-25,Regular,Bronze,Kahawa Sukari,0.8
C00166,Nyambura Wanjiku,18-25,Regular,Gold,Kahawa Sukari,2.7
C00167,Muthoni Omondi,36-45,New,Bronze,Ruiru CBD,1.0
C00168,Abdullah Okoth,46-55,Occasional,Bronze,Ruiru CBD,7.1
C00169,Muthoni Njeri,26-35,New,Bronze,Ruiru CBD,5.0
C00170,Achieng Mutiso,56+,Regular,Gold,Ruiru Sports Club,4.5
C00171,Okoth Maina,26-35,Occasional,Silver,Ruiru Town Center,1.5
C00172,Kipchoge Wanjiku,56+,Regular,Bronze,Ruiru Sports Club,4.2
C00173,Otieno Muthoni,26-35,New,Bronze,Kahawa Wendani,3.5
C00174,Juma Mumbi,36-45,Regular,Gold,Kihara,2.9
C00175,Adhiambo Otieno,46-55,New,Silver,Kihara,6.3
C00176,Njeri Simiyu,18-25,Regular,Platinum,Ruiru Town Center,1.0
C00177,Achieng Omondi,18-25,Occasional,Bronze,Mwiki,5.4
C00178,Muthoni Njeri,26-35,Occasional,Gold,Githurai 45,6.7
C00179,Mutiso Ochieng,36-45,New,Gold,Ndenderu,7.3
C00180,Ochieng Achieng,36-45,Regular,Silver,Kimbo,6.1
C00181,Kariuki Kinyua,26-35,Regular,Gold,Githurai 44,2.6
C00182,Otieno Kipchoge,36-45,Premium,Silver,Ruiru Town Center,5.0
C00183,Omondi Otieno,46-55,Occasional,Silver,Kimbo,1.6
C00184,Simiyu Mutiso,56+,New,Bronze,Githurai 45,1.4
C00185,Otieno Kariuki,56+,Regular,Gold,Kimbo,5.3
C00186,Were Wairimu,56+,Occasional,Gold,Githurai Kimbo,6.9
C00187,Chebet Kinyua,56+,Regular,Bronze,Ruiru CBD,1.0
C00188,Abdullah Chebet,26-35,Regular,Bronze,Githurai 45,1.3
C00189,Achieng Mumbi,46-55,Occasional,Silver,Kihara,4.7
C00190,Njoroge Chebet,26-35,Occasional,Gold,Green Valley,2.1
C00191,Hassan Abdullah,26-35,Occasional,Gold,Ruiru CBD,5.1
C00192,Mwangi Maina,18-25,Regular,Bronze,Kihara,2.1
C00193,Otieno Mumbi,46-55,Regular,Bronze,Mwiki,1.4
C00194,Abdullah Omondi,46-55,Occasional,Bronze,Ndenderu,4.6
C00195,Omondi Juma,56+,Occasional,Gold,Githurai 45,7.0
C00196,Njeri Kariuki,18-25,Regular,Bronze,Kimbo,5.6
C00197,Okoth Hassan,18-25,Occasional,Bronze,Kahawa Wendani,6.6
C00198,Ochieng Were,18-25,Occasional,Gold,Kahawa Sukari,2.5
C00199,Kipchoge Okoth,18-25,Regular,Silver,Githurai 44,7.1
C00200,Wanjiku Njeri,56+,New,Bronze,Kimbo,3.3
C00201,Mumbi Mutiso,36-45,Occasional,Bronze,Githurai Kimbo,6.9
C00202,Muthoni Ochieng,56+,New,Gold,Githurai 44,4.0
C00203,Otieno Mutiso,46-55,Regular,Gold,Green Valley,2.5
C00204,Kinyua Njeri,18-25,Regular,Gold,Githurai Kimbo,2.5
C00205,Hassan Wanjiku,18-25,Occasional,Silver,Githurai Kimbo,4.8
C00206,Abdullah Wanjala,26-35,New,Gold,Ndenderu,1.1
C00207,Were Adhiambo,46-55,Occasional,Bronze,Kahawa Sukari,7.5
C00208,Wanjala Kiplagat,56+,Occasional,Gold,Githurai 45,2.5
C00209,Kariuki Abdullah,56+,Occasional,Silver,Mwiki,3.0
C00210,Abdullah Kipchoge,26-35,New,Bronze,Githurai Kimbo,2.2
C00211,Were Njoroge,56+,Occasional,Bronze,Githurai 45,0.5
C00212,Wanjala Njoroge,36-45,Occasional,Gold,Ruiru Sports Club,5.7
C00213,Wairimu Were,46-55,Occasional,Silver,Ruiru CBD,4.9
C00214,Wanjiku Kamau,18-25,Regular,Gold,Githurai Kimbo,6.6
C00215,Otieno Simiyu,56+,Premium,Bronze,Ruiru Town Center,0.8
C00216,Njeri Hassan,46-55,New,Bronze,Ruiru CBD,7.5
C00217,Simiyu Njeri,26-35,Occasional,Silver,Mwiki,3.0
C00218,Abdullah Mwangi,56+,Occasional,Gold,Ndenderu,7.3
C00219,Okoth Nyambura,18-25,Regular,Bronze,Green Valley,1.3
C00220,Simiyu Kamau,26-35,Occasional,Bronze,Ndenderu,6.1
C00221,Ochieng Abdullah,46-55,New,Bronze,Mwiki,4.8
C00222,Mwangi Wairimu,18-25,Occasional,Bronze,Kihara,3.2
C00223,Ochieng Okoth,18-25,Occasional,Gold,Ruiru CBD,1.1
C00224,Nyambura Mutiso,56+,New,Silver,Mwiki,5.0
C00225,Chebet Otieno,36-45,Occasional,Platinum,Green Valley,0.7
C00226,Kipchoge Njoroge,18-25,Regular,Silver,Kihara,4.3
C00227,Wanjala Abdullah,36-45,Regular,Bronze,Kimbo,5.0
C00228,Wanjala Simiyu,46-55,Regular,Gold,Ruiru Sports Club,6.0
C00229,Mutiso Were,46-55,Regular,Gold,Kimbo,7.9
C00230,Okoth Wambui,36-45,New,Bronze,Kihara,2.5
C00231,Akinyi Kiplagat,26-35,New,Bronze,Kahawa Sukari,2.9
C00232,Njoroge Otieno,18-25,New,Gold,Kahawa Wendani,3.1
C00233,Juma Wanjiku,56+,Occasional,Bronze,Kihara,6.0
C00234,Otieno Wanjala,18-25,Occasional,Silver,Mwiki,7.5
C00235,Kariuki Kinyua,26-35,Premium,Silver,Ruiru Town Center,7.8
C00236,Achieng Mwangi,46-55,Regular,Silver,Ruiru Sports Club,7.6
C00237,Mutiso Ochieng,36-45,Regular,Bronze,Ndenderu,7.1
C00238,Mumbi Wairimu,46-55,Occasional,Gold,Githurai 45,7.9
C00239,Juma Wanjala,36-45,Occasional,Bronze,Kihara,3.3
C00240,Kiplagat Kinyua,36-45,Premium,Silver,Ruiru Town Center,7.6
C00241,Mutiso Mwangi,26-35,Occasional,Bronze,Kahawa Sukari,6.2
C00242,Kiplagat Chebet,56+,Occasional,Bronze,Ndenderu,1.8
C00243,Kiplagat Nyambura,36-45,Regular,Gold,Ndenderu,0.8
C00244,Simiyu Kamau,36-45,Premium,Silver,Ruiru Town Center,2.1
C00245,Hassan Mwangi,26-35,Occasional,Bronze,Githurai Kimbo,6.3
C00246,Achieng Wanjala,56+,Regular,Gold,Mwiki,5.2
C00247,Okoth Kinyua,18-25,Occasional,Silver,Kahawa Sukari,2.2
C00248,Maina Omondi,26-35,New,Gold,Ndenderu,6.1
C00249,Simiyu Muthoni,56+,New,Bronze,Kimbo,1.6
C00250,Wairimu Akinyi,18-25,Occasional,Bronze,Ndenderu,6.7
C00251,Kariuki Otieno,18-25,Regular,Bronze,Ruiru CBD,6.5
C00252,Mumbi Hassan,18-25,Regular,Bronze,Githurai 45,7.8
C00253,Kamau Njoroge,56+,New,Bronze,Kimbo,1.6
C00254,Kinyua Wanjiku,46-55,Occasional,Gold,Kahawa Wendani,7.3
C00255,Akinyi Kinyua,26-35,Regular,Gold,Ruiru Town Center,3.1
C00256,Kamau Muthoni,36-45,Occasional,Silver,Mwiki,3.6
C00257,Juma Kariuki,18-25,New,Silver,Mwiki,4.0
C00258,Chebet Otieno,18-25,Regular,Bronze,Ruiru CBD,5.2
C00259,Simiyu Juma,46-55,Regular,Gold,Ruiru Sports Club,8.0
C00260,Wambui Ochieng,46-55,Occasional,Bronze,Ruiru CBD,5.0
C00261,Maina Wairimu,26-35,Occasional,Silver,Kahawa Wendani,7.5
C00262,Mutiso Njoroge,26-35,Occasional,Silver,Ruiru CBD,2.4
C00263,Mutiso Mutiso,56+,Regular,Bronze,Githurai 44,3.5
C00264,Hassan Akinyi,56+,Regular,Bronze,Ruiru CBD,4.3
C00265,Kiplagat Otieno,56+,Occasional,Silver,Githurai 45,2.9
C00266,Adhiambo Abdullah,46-55,Occasional,Silver,Kahawa Sukari,7.8
C00267,Wanjiku Adhiambo,56+,Occasional,Bronze,Githurai 44,5.9
C00268,Okoth Ochieng,36-45,New,Gold,Mwiki,4.1
C00269,Mumbi Wambui,56+,Regular,Gold,Mwiki,6.1
C00270,Abdullah Akinyi,36-45,Regular,Bronze,Ruiru CBD,4.0
C00271,Mutiso Kariuki,56+,New,Silver,Mwiki,0.6
C00272,Simiyu Kamau,36-45,Regular,Bronze,Githurai Kimbo,4.6
C00273,Omondi Omondi,26-35,Regular,Gold,Ndenderu,5.2
C00274,Omondi Hassan,26-35,Regular,Silver,Kihara,7.9
C00275,Njeri Okoth,36-45,New,Bronze,Kihara,0.8
C00276,Abdullah Njeri,46-55,New,Bronze,Mwiki,4.3
C00277,Juma Kipchoge,46-55,New,Bronze,Githurai Kimbo,1.2
C00278,Adhiambo Hassan,18-25,Regular,Bronze,Green Valley,1.6
C00279,Chebet Njeri,18-25,Regular,Bronze,Ndenderu,5.1
C00280,Kariuki Kariuki,56+,Occasional,Gold,Ndenderu,2.2
C00281,Wanjala Kariuki,56+,Regular,Silver,Kahawa Wendani,6.1
C00282,Okoth Chebet,46-55,Occasional,Bronze,Ndenderu,4.4
C00283,Mumbi Muthoni,36-45,Occasional,Silver,Kahawa Sukari,2.1
C00284,Mutiso Akinyi,46-55,Regular,Platinum,Ruiru Town Center,4.2
C00285,Otieno Mumbi,46-55,Occasional,Silver,Mwiki,0.5
C00286,Njeri Kiplagat,46-55,Occasional,Silver,Ndenderu,7.0
C00287,Wambui Wambui,26-35,Occasional,Bronze,Green Valley,0.6
C00288,Kariuki Were,36-45,Regular,Bronze,Kahawa Wendani,0.6
C00289,Ochieng Kinyua,56+,Occasional,Silver,Kahawa Wendani,5.1
C00290,Kariuki Abdullah,26-35,Premium,Bronze,Green Valley,7.8
C00291,Otieno Achieng,46-55,Regular,Silver,Green Valley,6.9
C00292,Kipchoge Njoroge,46-55,Occasional,Silver,Kahawa Sukari,2.4
C00293,Kinyua Adhiambo,26-35,New,Bronze,Githurai 44,2.0
C00294,Kariuki Hassan,26-35,Occasional,Bronze,Githurai Kimbo,5.2
C00295,Okoth Otieno,56+,Premium,Silver,Ruiru Town Center,6.7
C00296,Okoth Achieng,26-35,Occasional,Bronze,Githurai 45,3.2
C00297,Kariuki Omondi,56+,Regular,Silver,Ruiru CBD,3.7
C00298,Wairimu Muthoni,56+,Regular,Bronze,Kahawa Wendani,1.4
C00299,Kipchoge Muthoni,18-25,Occasional,Gold,Ruiru Town Center,1.6
C00300,Achieng Were,26-35,Premium,Bronze,Ruiru Sports Club,4.8
C00301,Njeri Abdullah,36-45,Regular,Gold,Ruiru Town Center,1.3
C00302,Okoth Mutiso,46-55,Occasional,Silver,Kimbo,2.0
C00303,Juma Omondi,56+,Occasional,Gold,Ndenderu,2.3
C00304,Ochieng Achieng,56+,Regular,Silver,Green Valley,3.8
C00305,Chebet Muthoni,18-25,Premium,Gold,Green Valley,0.8
C00306,Wambui Kipchoge,26-35,Occasional,Bronze,Ndenderu,4.2
C00307,Mutiso Mwangi,18-25,New,Silver,Kihara,7.5
C00308,Wairimu Achieng,56+,New,Bronze,Githurai 45,0.7
C00309,Njeri Juma,18-25,Occasional,Silver,Githurai 45,5.2
C00310,Simiyu Wambui,26-35,Regular,Bronze,Githurai Kimbo,6.8
C00311,Wanjala Hassan,36-45,Occasional,Silver,Githurai 45,2.8
C00312,Wanjala Mutiso,56+,Regular,Silver,Mwiki,1.5
C00313,Wanjiku Omondi,46-55,Premium,Gold,Green Valley,0.8
C00314,Njoroge Kamau,56+,Occasional,Silver,Mwiki,5.3
C00315,Kipchoge Abdullah,46-55,Occasional,Gold,Githurai 45,4.6
C00316,Ochieng Chebet,56+,Occasional,Bronze,Mwiki,2.2
C00317,Chebet Kinyua,18-25,Occasional,Gold,Ruiru Town Center,6.7
C00318,Kiplagat Njeri,46-55,Premium,Gold,Ruiru Sports Club,6.0
C00319,Wanjiku Njeri,26-35,Occasional,Bronze,Ruiru CBD,2.6
C00320,Omondi Nyambura,56+,Premium,Silver,Ruiru Sports Club,6.2
C00321,Kipchoge Kinyua,18-25,Occasional,Bronze,Githurai 45,2.3
C00322,Kipchoge Muthoni,18-25,New,Silver,Ruiru CBD,5.6
C00323,Mumbi Nyambura,46-55,Occasional,Silver,Mwiki,1.4
C00324,Simiyu Muthoni,36-45,Regular,Gold,Ruiru Sports Club,5.7
C00325,Akinyi Ochieng,36-45,Occasional,Bronze,Kahawa Wendani,2.3
C00326,Mutiso Mumbi,26-35,Premium,Gold,Ruiru Town Center,4.8
C00327,Mumbi Akinyi,26-35,Occasional,Gold,Kahawa Wendani,1.8
C00328,Ochieng Wambui,36-45,New,Bronze,Kimbo,5.9
C00329,Nyambura Omondi,26-35,New,Bronze,Githurai Kimbo,1.0
C00330,Mutiso Wairimu,56+,Occasional,Gold,Kihara,1.7
C00331,Nyambura Wambui,56+,Occasional,Bronze,Kihara,1.9
C00332,Were Kinyua,36-45,Occasional,Silver,Kahawa Sukari,0.8
C00333,Were Kamau,36-45,New,Bronze,Githurai 44,6.1
C00334,Mumbi Wambui,26-35,Regular,Gold,Githurai 44,7.9
C00335,Wambui Hassan,36-45,Occasional,Silver,Githurai Kimbo,6.3
C00336,Otieno Juma,26-35,Regular,Silver,Githurai Kimbo,7.0
C00337,Muthoni Simiyu,18-25,Occasional,Silver,Githurai Kimbo,0.5
C00338,Mwangi Wambui,18-25,Regular,Bronze,Mwiki,1.4
C00339,Ochieng Kariuki,36-45,Regular,Silver,Mwiki,4.7
C00340,Akinyi Adhiambo,18-25,Occasional,Bronze,Kahawa Wendani,7.8
C00341,Kiplagat Muthoni,18-25,Regular,Bronze,Kimbo,5.5
C00342,Kariuki Abdullah,36-45,Occasional,Gold,Mwiki,3.3
C00343,Adhiambo Omondi,56+,Regular,Bronze,Githurai 44,1.6
C00344,Were Kipchoge,26-35,Occasional,Gold,Ruiru Town Center,1.6
C00345,Muthoni Adhiambo,36-45,Regular,Bronze,Ruiru CBD,3.2
C00346,Achieng Wambui,46-55,Regular,Silver,Ruiru CBD,5.9
C00347,Abdullah Wanjiku,26-35,New,Silver,Ruiru CBD,0.7
C00348,Kiplagat Okoth,18-25,New,Bronze,Kihara,6.9
C00349,Mutiso Kiplagat,26-35,Occasional,Bronze,Kahawa Wendani,7.6
C00350,Muthoni Mumbi,36-45,Regular,Bronze,Kimbo,7.2
C00351,Were Wanjala,46-55,Regular,Gold,Green Valley,7.3
C00352,Kipchoge Omondi,56+,Regular,Platinum,Ruiru Town Center,0.6
C00353,Kipchoge Omondi,18-25,Regular,Gold,Kahawa Sukari,7.8
C00354,Kariuki Maina,46-55,Regular,Gold,Githurai 44,3.2
C00355,Omondi Simiyu,56+,Regular,Gold,Githurai Kimbo,7.0
C00356,Njeri Mumbi,26-35,New,Silver,Kihara,1.9
C00357,Chebet Chebet,26-35,Occasional,Gold,Kihara,3.8
C00358,Abdullah Maina,18-25,Regular,Bronze,Mwiki,0.8
C00359,Akinyi Chebet,36-45,Occasional,Silver,Ruiru CBD,0.8
C00360,Ochieng Were,18-25,Regular,Silver,Kimbo,7.6
C00361,Okoth Wairimu,36-45,Occasional,Bronze,Ruiru Sports Club,6.6
C00362,Mutiso Were,56+,Regular,Silver,Kihara,4.5
